"Char";"Styles";"Coordinates";"Units"
"fk";"r";"O13";"15"
"";"";"NI14";"15"
"";"";"NL14";"15"
"V";"i";"A14";"17"
"X";"i";"B14";"17"
"D";"i";"C14";"17"
"H";"i";"D14";"17"
"N";"i";"E14";"17"
"A";"i";"F14";"17"
"M";"r";"G14";"17"
"&";"r";"H14";"17"
"À";"i";"I14";"17"
"";"";"J14";"15"
"";"";"K14";"15"
"";"";"L14";"15"
"";"";"M14";"15"
"";"";"N14";"15"
"";"";"O14";"15"
"";"";"NI15";"18"
"";"";"NL15";"18"
"";"";"A15";"18"
"M";"i";"B15";"17"
"";"";"C15";"18"
"W";"i";"D15";"18"
"W";"r";"E15";"18"
"AE!";"r";"F15";"18"
"&";"i";"G15";"18"
"";"";"H15";"18"
"=";"ris";"I15";"18"
"OE!";"r";"J15";"18"
"%";"r";"K15";"18"
"...";"ris";"L15";"18"
"+";"ris";"M15";"18"
"---";"ris";"N15";"18"
" ";"";"O15";"18"
