"# character; style1, style2...; column; row; unit-value"
"U";"bold";"A";"15";"14"
"V";"bold";"J";"16";"13"
"W";"bold";"M";"15";"18"
"X";"bold";"L";"15";"13"
"Y";"bold";"M";"16";"13"
"Z";"bold";"E";"15";"13"
"Ź";"bold";"N";"15";"13"
"1";"bold";"M";"6";"9"
"2";"bold";"N";"6";"9"
"3";"bold";"O";"6";"9"
"4";"bold";"L";"7";"9"
"5";"bold";"M";"7";"9"
"6";"bold";"N";"7";"9"
"7";"bold";"O";"7";"9"
"8";"bold";"M";"8";"9"
"9";"bold";"N";"8";"9"
"0";"bold";"O";"8";"9"
"(";"bold";"N";"2";"6"
")";"bold";"O";"2";"6"
":";"bold";"M";"3";"7"
";";"bold";"D";"5";"7"
"?";"bold";"L";"6";"9"
"-";"bold";"M";"2";"7"
".";"bold";"NI";"2";"6"
"!";"bold";"O";"3";"6"
"%";"bold";"F";"16";"18"
",";"bold";"NL";"2";"6"
"'";"bold";"N";"1";"5"
"a";"italic";"B";"8";"9"
"ą";"italic";"NI";"7";"9"
"b";"italic";"NL";"6";"9"
"c";"italic";"C";"5";"8"
"ć";"italic";"A";"5";"8"
"d";"italic";"A";"6";"9"
"e";"italic";"E";"5";"8"
"ę";"italic";"A";"4";"8"
"f";"italic";"C";"2";"6"
"g";"italic";"B";"6";"9"
"h";"italic";"A";"9";"9"
"i";"italic";"D";"1";"5"
"j";"italic";"C";"1";"5"
"l";"italic";"B";"1";"5"
"ł";"italic";"A";"1";"5"
"m";"italic";"M";"13";"14"
"ń";"italic";"N";"10";"9"
"o";"italic";"NL";"5";"9"
"ó";"italic";"NL";"7";"9"
"p";"italic";"A";"7";"9"
"q";"italic";"C";"8";"9"
"r";"italic";"A";"3";"7"
"s";"italic";"C";"4";"7"
"ś";"italic";"H";"3";"7"
"t";"italic";"D";"2";"6"
"u";"italic";"A";"8";"9"
"v";"italic";"B";"5";"8"
"w";"italic";"G";"11";"12"
"x";"italic";"C";"9";"10"
"y";"italic";"B";"7";"9"
"z";"italic";"B";"4";"8"
"ź";"italic";"G";"4";"8"
"ż";"italic";"D";"4";"8"
"A";"italic";"E";"12";"13"
"B";"italic";"B";"11";"12"
"C";"italic";"L";"12";"13"
"D";"italic";"D";"13";"14"
"E";"italic";"F";"11";"12"
"Ę";"italic";"K";"15";"12"
"F";"italic";"NL";"10";"11"
"G";"italic";"M";"12";"13"
"H";"italic";"A";"14";"15"
"I";"italic";"NL";"3";"7"
"J";"italic";"C";"7";"9"
"K";"italic";"B";"15";"13"
"L";"italic";"D";"11";"12"
"Ł";"italic";"I";"11";"12"
"M";"italic";"F";"15";"18"
"N";"italic";"B";"13";"14"
"O";"italic";"C";"13";"14"
"P";"italic";"C";"11";"12"
"Q";"italic";"K";"16";"14"
"R";"italic";"C";"15";"13"
"S";"italic";"A";"10";"11"
"U";"italic";"A";"13";"14"
"V";"italic";"G";"16";"13"
